Reading List ID,Google Books ID,Apple Books ID,ISBN-13,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
ACC717C9-A490-412A-9160-5BEECC467D70,8SmJEAAAQBAJ,,9780756413019,Empire of Silence,,"Ruocchio, Christopher",768,,Penguin,"Hadrian Marlowe, a man revered as a hero and despised as a murderer, chronicles his tale in the galaxy-spanning debut of the Sun Eater series, merging the best of space opera and epic fantasy.

It was not his war.

The galaxy remembers him as a hero: the man who burned every last alien Cielcin from the sky. They remember him as a monster: the devil who destroyed a sun, casually annihilating four billion human lives—even the Emperor himself—against Imperial orders.

But Hadrian was not a hero. He was not a monster. He was not even a soldier.

On the wrong planet, at the right time, for the best reasons, Hadrian Marlowe starts down a path that can only end in fire. He flees his father and a future as a torturer only to be left stranded on a strange, backwater world.

Forced to fight as a gladiator and navigate the intrigues of a foreign planetary court, Hadrian must fight a war he did not start, for an Empire he does not love, against an enemy he will never understand.",Action & Adventure; Alien Contact; Epic; Fantasy; Fiction; Hard Science Fiction; Science Fiction; Space Opera,en,,,,,,,,Upgrade rec,
D3814FD6-0E4C-48EB-AC95-DCB5CD96EF3D,Vk-oDAAAQBAJ,,9780316362467,Kings of the Wyld,,"Eames, Nicholas",544,,Orbit,"A retired group of legendary mercenaries get the band back together for one last impossible mission in this award-winning debut epic fantasy.

""Fantastic, funny, ferocious."" -- Sam Sykes

Clay Cooper and his band were once the best of the best, the most feared and renowned crew of mercenaries this side of the Heartwyld.

Their glory days long past, the mercs have grown apart and grown old, fat, drunk, or a combination of the three. Then an ex-bandmate turns up at Clay's door with a plea for help -- the kind of mission that only the very brave or the very stupid would sign up for.

It's time to get the band back together.",Action & Adventure; Dragons & Mythical Creatures; Epic; Fantasy; Fiction; Humorous,en,,,,,,,,,
F5B56578-9226-42AF-AE38-567D46BFE5E5,0dczDwAAQBAJ,,9780143131229,Faster Than Normal,"Turbocharge Your Focus, Productivity, and Success with the Secrets of the ADHD Brain","Shankman, Peter",256,,Penguin,"A refreshingly practical and honest guide that rewrites the script on ADHD

Peter Shankman is a busy guy -- a media entrepreneur who runs several businesses, gives keynote speeches around the world, hosts a popular podcast, runs marathons and Iron Mans, is a licensed skydiver, dabbles in angel investing, and is loving father to his young daughter.

Simply put, he always seems to have more than 24 hours in a day. How does he do it? Peter attributes his unusually high energy level and extreme productivity to his ADHD.

In Faster Than Normal, Shankman shares his hard-won insights and daily hacks for making ADHD a secret weapon for living a full and deeply satisfying life. Both inspiring and practical, the book presents life rules, best practices, and simple but powerful ways to:

Harness your creative energy to generate and execute your ideas
Direct your hyperfocus to get things done
Identify your pitfalls--and avoid them
Streamline your daily routine to eliminate distractions
Use apps and other tech innovations to free up your time and energy

Filled with ingenious hacks and supportive self-care advice, this is the positive, practical book the ADHD community has long needed - and is also an invaluable handbook for anyone who's sick of feeling overwhelmed and wants to drive their faster-than-normal brain at maximum speed...without crashing.",Attention-Deficit Disorder (ADD-ADHD); Personal Growth; Psychology; Psychopathology; Self-Help; Self-Management; Success; Time Management,en,,,,,,,,,
EC0ED6DF-022F-4D3C-AB8E-5D1904BF3B76,r9WMDQAAQBAJ,,9780394480763,The Power Broker,Robert Moses and the Fall of New York,"Caro, Robert A.",1296,,Knopf Doubleday Publishing Group,"PULITZER PRIZE WINNER • A modern American classic, this huge and galvanizing biography of Robert Moses reveals not only the saga of one man’s incredible accumulation of power but the story of his shaping (and mis-shaping) of twentieth-century New York. 

One of the Modern Library’s hundred greatest books of the twentieth century, Robert Caro's monumental book makes public what few outsiders knew: that Robert Moses was the single most powerful man of his time in the City and in the State of New York. And in telling the Moses story, Caro both opens up to an unprecedented degree the way in which politics really happens—the way things really get done in America's City Halls and Statehouses—and brings to light a bonanza of vital information about such national figures as Alfred E. Smith and Franklin D. Roosevelt (and the genesis of their blood feud), about Fiorello La Guardia, John V. Lindsay and Nelson Rockefeller.

But The Power Broker is first and foremost a brilliant multidimensional portrait of a man—an extraordinary man who, denied power within the normal framework of the democratic process, stepped outside that framework to grasp power sufficient to shape a great city and to hold sway over the very texture of millions of lives. We see how Moses began: the handsome, intellectual young heir to the world of Our Crowd, an idealist. How, rebuffed by the entrenched political establishment, he fought for the power to accomplish his ideals. How he first created a miraculous flowering of parks and parkways, playlands and beaches—and then ultimately brought down on the city the smog-choked aridity of our urban landscape, the endless miles of (never sufficient) highway, the hopeless sprawl of Long Island, the massive failures of public housing, and countless other barriers to humane living. How, inevitably, the accumulation of power became an end in itself.

Moses built an empire and lived like an emperor. He was held in fear—his dossiers could disgorge the dark secret of anyone who opposed him. He was, he claimed, above politics, above deals; and through decade after decade, the newspapers and the public believed. Meanwhile, he was developing his public authorities into a fourth branch of government known as ""Triborough""—a government whose records were closed to the public, whose policies and plans were decided not by voters or elected officials but solely by Moses—an immense economic force directing pressure on labor unions, on banks, on all the city's political and economic institutions, and on the press, and on the Church. He doled out millions of dollars' worth of legal fees, insurance commissions, lucrative contracts on the basis of who could best pay him back in the only coin he coveted: power. He dominated the politics and politicians of his time—without ever having been elected to any office. He was, in essence, above our democratic system.

Robert Moses held power in the state for 44 years, through the governorships of Smith, Roosevelt, Lehman, Dewey, Harriman and Rockefeller, and in the city for 34 years, through the mayoralties of La Guardia, O'Dwyer, Impellitteri, Wagner and Lindsay, He personally conceived and carried through public works costing 27 billion dollars—he was undoubtedly America's greatest builder.

This is how he built and dominated New York—before, finally, he was stripped of his reputation (by the press) and his power (by Nelson Rockefeller). But his work, and his will, had been done.",Biography & Autobiography; City Planning & Urban Development; Political; Political Science; Public Policy; Social Science; Sociology; Urban,en,,,,,,,,,
8C795456-46B6-448B-AAB2-16E7CC5A7065,Qk4rDwAAQBAJ,,9780008196813,How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer,,"Newey, Adrian",400,,HarperCollins UK,"'Adrian has a unique gift for understanding drivers and racing cars. He is ultra competitive but never forgets to have fun. An immensely likeable man.' Damon Hill

The world’s foremost designer in Formula One, Adrian Newey OBE is arguably one of Britain’s greatest engineers and this is his fascinating, powerful memoir.

How to Build a Car explores the story of Adrian’s unrivalled 35-year career in Formula One through the prism of the cars he has designed, the drivers he has worked alongside and the races in which he’s been involved.

A true engineering genius, even in adolescence Adrian’s thoughts naturally emerged in shape and form – he began sketching his own car designs at the age of 12 and took a welding course in his school summer holidays. From his early career in IndyCar racing and on to his unparalleled success in Formula One, we learn in comprehensive, engaging and highly entertaining detail how a car actually works. Adrian has designed for the likes of Mario Andretti, Nigel Mansell, Alain Prost, Damon Hill, David Coulthard, Mika Hakkinen, Mark Webber and Sebastian Vettel, always with a shark-like purity of purpose: to make the car go faster. And while his career has been marked by unbelievable triumphs, there have also been deep tragedies; most notably Ayrton Senna’s death during his time at Williams in 1994.

Beautifully illustrated with never-before-seen drawings, How to Build a Car encapsulates, through Adrian’s remarkable life story, precisely what makes Formula One so thrilling – its potential for the total synchronicity of man and machine, the perfect combination of style, efficiency and speed.",Biography & Autobiography; Design; Drafting & Mechanical Drawing; Industrial; Motor Sports; Personal Memoirs; Sports; Sports & Recreation; Technology & Engineering,en,,,,,,,,,
11683E4B-F37F-40E7-BDE8-880E6A1DB893,7c43jgEACAAJ,,9781784870959,Brave New World,,"Huxley, Aldous",288,,Vintage.,"COVER DESIGNS THAT COME TO LIFE! ANIMATE THE COVER WITH THE FREE INSERTED SHEET

Far in the future, the World Controllers have created the ideal society. Through clever use of genetic engineering, brainwashing and recreational sex and drugs all its members are happy consumers. Bernard Marx seems alone harbouring an ill-defined longing to break free. A visit to one of the few remaining Savage Reservations where the old, imperfect life still continues, may be the cure for his distress...

Huxley's ingenious fantasy of the future sheds a blazing light on the present and is considered to be his most enduring masterpiece.

WITH INTRODUCTIONS BY MARGARET ATWOOD AND DAVID BRADSHAW",,en,,,,,,,,,
62258F0F-D10F-4573-9592-72CDEF1E5251,k5k7EAAAQBAJ,,9780451499806,Bittersweet,How Sorrow and Longing Make Us Whole,"Cain, Susan",384,,Crown,"#1 NEW YORK TIMES BESTSELLER • Sadness is your superpower. In her new masterpiece, the author of the bestselling phenomenon Quiet explores the power of the bittersweet personality, revealing a misunderstood side of mental health and creativity while offering a roadmap to facing grief in order to live life to the fullest.

“Bittersweet grabs you by the heart and doesn’t let go.”—BRENÉ BROWN, author of Atlas of the Heart
“Susan Cain has described and validated my existence once again!”—GLENNON DOYLE, author of Untamed
“The perfect cure for toxic positivity.”—ADAM GRANT, author of Think Again

LONGLISTED FOR THE PORCHLIGHT BUSINESS BOOK AWARD • ONE OF THE BEST BOOKS OF THE YEAR: The Wall Street Journal, Mashable

Bittersweetness is a tendency to states of long­ing, poignancy, and sorrow; an acute aware­ness of passing time; and a curiously piercing joy at the beauty of the world. It recognizes that light and dark, birth and death—bitter and sweet—are forever paired.

If you’ve ever wondered why you like sad music . . .
If you find comfort or inspiration in a rainy day . . .
If you react intensely to music, art, nature, and beauty . . .

Then you probably identify with the bitter­sweet state of mind.

With Quiet, Susan Cain urged our society to cultivate space for the undervalued, indispensable introverts among us, thereby revealing an un­tapped power hidden in plain sight. Now she em­ploys the same mix of research, storytelling, and memoir to explore why we experience sorrow and longing, and how embracing the bittersweetness at the heart of life is the true path to creativity, con­nection, and transcendence.

Cain shows how a bittersweet state of mind is the quiet force that helps us transcend our personal and collective pain, whether from a death or breakup, addiction or illness. If we don’t acknowledge our own heartache, she says, we can end up inflicting it on others via abuse, domination, or neglect. But if we realize that all humans know—or will know—loss and suffering, we can turn toward one another.

At a time of profound discord and personal anxiety, Bittersweet brings us together in deep and unexpected ways.",Emotions; Personal Growth; Psychology; Self-Help; Spiritual,en,,,,,,,,,
0E8583B0-9B38-4D40-BE66-6D689086CD45,zOicAQAACAAJ,,9781786270832,The Secret Life of the Pencil,Great Creatives and Their Pencils,"Hammond, Alex; Tinney, Mike",160,,Laurence King Publishing,"Since software programs have come to dominate offices and studios, the pencil has become a symbol for creative freedom. In other words, the work you do on the computer is what you do for work, to pay the rent, whereas the stuff you do with your pencil is the stuff you do for fun. Apart from stimulating the world's most important creative minds, the pencil has become the modern creative's ultimate fetish.

This book presents a unique collection of close-up pictures of pencils from some of our foremost artists, designers, writers, architects, and musicians. What makes these pictures compelling is the fact that they somehow reflect the creative personalities of their owners: Philippe Starck's is a stylish black and red, Paul Smith's is a classic jewel-like thing worth £3,000 (a present from Jonathan Ive), William Boyd's is nicely aged and rusty, while Anish Kapoor's is sculpted into a mini ArcelorMittal Orbital tower. The pictures are complemented by materials such as sketches, quotes and brief interviews, giving a further insight into the workings of these great creative minds.",Art,en,,,,,,,,,
AEC8C1B5-A502-4432-8410-10A4B8801585,UY5oBAAAQBAJ,,9780804141246,Triggers,Creating Behavior That Lasts--Becoming the Person You Want to Be,"Goldsmith, Marshall; Reiter, Mark",272,,Crown Publishing Group,"Bestselling author and world-renowned executive coach Marshall Goldsmith examines the environmental and psychological triggers that can derail us at work and in life.

Do you ever find that you are not the patient, compassionate problem solver you believe yourself to be? Are you surprised at how irritated or flustered the normally unflappable you becomes in the presence of a specific colleague at work? Have you ever felt your temper accelerate from zero to sixty when another driver cuts you off in traffic?

Our reactions don’t occur in a vacuum. They are usually the result of unappreciated triggers in our environment—the people and situations that lure us into behaving in a manner diametrically opposed to the colleague, partner, parent, or friend we imagine ourselves to be. These triggers are constant and relentless and omnipresent. So often the environment seems to be outside our control. Even if that is true, as Goldsmith points out, we have a choice in how we respond.

In Triggers, his most powerful and insightful book yet, Goldsmith shows how we can overcome the trigger points in our lives, and enact meaningful and lasting change. Goldsmith offers a simple “magic bullet” solution in the form of daily self-monitoring, hinging around what he calls “active” questions. These are questions that measure our effort, not our results. There’s a difference between achieving and trying; we can’t always achieve a desired result, but anyone can try. In the course of Triggers, Goldsmith details the six “engaging questions” that can help us take responsibility for our efforts to improve and help us recognize when we fall short.

Filled with revealing and illuminating stories from his work with some of the most successful chief executives and power brokers in the business world, Goldsmith offers a personal playbook on how to achieve change in our lives, make it stick, and become the person we want to be.",Business & Economics; Decision-Making & Problem Solving; Leadership; Management,en,,,,,,,,,
8E42FB91-630E-444A-91A6-921529E43765,k8bfAQAACAAJ,,9780765375636,The Swarm,The Second Formic War,"Card, Orson Scott; Johnston, Aaron",528,,Tom Doherty Associates,"Orson Scott Card and Aaron Johnston return to their Ender's Game prequel series with this first volume of an all-new trilogy about the Second Formic War in The Swarm.

The first invasion of Earth was beaten back by a coalition of corporate and international military forces, and the Chinese army. China has been devastated by the Formic's initial efforts to eradicate Earth life forms and prepare the ground for their own settlement. The Scouring of China struck fear into the other nations of the planet; that fear blossomed into drastic action when scientists determined that the single ship that wreaked such damage was merely a scout ship.

There is a mothership out beyond the Solar System's Kuiper Belt, and it's heading into the system, unstoppable by any weapons that Earth can muster.

Earth has been reorganized for defense. There is now a Hegemon, a planetary official responsible for keeping all the formerly warring nations in line. There's a Polemarch, responsible for organizing all the military forces of the planet into the new International Fleet. But there is an enemy within, an enemy as old as human warfare: ambition and politics. Greed and self-interest. Will Bingwen, Mazer Rackam, Victor Delgado and Lem Juke be able to divert those very human enemies in time to create a weapon that can effectively defend humanity in the inexorable Second Formic War?

THE ENDER UNIVERSE

Ender series
Ender’s Game / Speaker for the Dead / Xenocide / Children of the Mind / Ender in Exile / Children of the Fleet

Ender’s Shadow series
Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight

The First Formic War (with Aaron Johnston)
Earth Unaware / Earth Afire / Earth Awakens

The Second Formic War (with Aaron Johnston)
The Swarm / The Hive

Ender novellas
A War of Gifts / First Meetings",Action & Adventure; Fiction; Military; Science Fiction; Space Opera,en,,,,,,,,,
